# name|fixture|default_key_sequence|default_patch_inbox|default_submit_patch|default_scene_shortcut|setup|checks|expected_status|audit_message
renderer-rows|renderer-rows|||||launch Scene Mode renderer row fixture.|Rows remain visually aligned; sprite/entity layers do not shift.|Ready.|Smoke: renderer-rows scenario.
guarded-input|layered-mode|space,enter||||Launch layered state fixture.|Automated input exercises a layer-owned update and guarded transition without closing Scene Mode.|Layer story transitioned: dialogue -> choice.|Guarded input audit: exercise layer-owned update and guarded transition inputs.
run-command-targets|run-command-targets|enter,j,enter,j,enter||||Launch RunCommand target fixture.|Automated input activates tab, split_right, and split_down RunCommand choices.|RunCommand opened split_down pane.|RunCommand audit: activate tab, split_right, and split_down choices.
overlay-cleanup|basic|escape||||Launch Scene Mode and send Escape before capture.|Overlay cleanup returns to the underlying terminal without crashing the GUI.|Scene Mode overlay closed.|Overlay cleanup audit: close Scene Mode before capture.
vertical-slice|vertical-slice|enter,j,enter,j,enter,j,enter||||Launch playable vertical slice fixture.|Automated input accepts the brief, prepares the launch kit, completes the scene loop, and keeps Scene Mode open.|Dialogue advanced: Guide.|Vertical slice audit: complete the playable brief, launch kit, loop, and ending path.
workspace-agent|workspace-agent||auto|||Launch Agent/Workspace fixture with auto patch inbox, then emit real process and agent lifecycle patches.|Scene Mode renders workspace, project, task, agent, process, and file entities while external helpers drive lifecycle state.|Agent complete: Workspace slice ready.|Agent/Workspace audit: emit process and agent lifecycle patches into the workspace fixture.
workspace-discovery|workspace-discovery|||||Generate a Scene Mode scene from the current repository with ci/gameterm-scene-workspace.sh, then launch it.|Scene Mode renders generated workspace, project, task, process, and file entities from cwd/git state.|Discovered workspace scene is visible.|Workspace discovery audit: launch a scene generated from __REPO_ROOT__.
live-mux-discovery|live-mux-discovery|||||Generate a Scene Mode scene from the active mux pane with ci/gameterm-scene-mux-context.sh, then launch it.|Scene Mode renders generated workspace, pane, and process entities from active mux context, or falls back to cwd discovery when mux context is unavailable.|Discovered live mux workspace scene is visible.|Live mux discovery audit: launch a scene generated from active mux context.
agent-lifecycle|basic||auto|||Launch with auto patch inbox and emit planning, blocked, and complete agent phases.|Scene Mode receives structured agent lifecycle patches and renders the final completed agent state.|Agent complete: Finished visual slice.|Agent lifecycle audit: emit planning, blocked, and complete patches before capture.
authoring-loop|authoring-loop|enter,j,enter,j,enter||||Launch story-state authoring fixture.|Automated input saves story state, mutates draft state, reloads the saved state, and keeps Scene Mode open.|Story state imported: /tmp/gameterm-scene-authoring-loop.story.json.|Authoring loop audit: save story state, mutate draft state, then reload the saved state.
patch-inbox|basic||auto|||Launch with GAMETERM_SCENE_PATCH_FILE auto-inbox.|Write-inbox patch updates visible entity state and keeps Scene Mode open.|Fixture patch applied.|Patch-inbox audit: apply patch from inbox transport before capture.
mux-patch|basic|||__PATCH_STATUS__||Launch, open Scene Mode, and submit ci/fixtures/gameterm-scene/patch-status.json through mux.|Mux patch updates visible entity state and reports patch source.|Fixture patch applied.|Mux patch audit: open Scene Mode before the wait expires; the script will submit the patch file.
process-state|basic||auto|||Launch with auto patch inbox, then run the process helper before capture.|Entity transitions running -> succeeded/failed and Tile Debugger shows typed process state.|Process succeeded: true.|Process-state audit: the script will run a true command through ci/gameterm-scene-process.sh before capture.
active-pane-gui|renderer-rows||||active-pane|Launch GameTerm from the current build and use macOS automation to send Ctrl+Alt+Shift+G.|Native active-pane Scene action opens a transient generated workspace scene without writing the configured scene file.|Generated active pane scene is visible; Esc/q closes it cleanly.|Active-pane GUI audit: open a transient generated workspace scene through the native shortcut.
vn-demo|vn-demo|enter,j,enter||||Generate the VN demo into a temporary Scene config, validate sprite files as real PNG images, then launch Scene Mode.|Imported VN dialogue, choices, bindings, and copied VN sprite assets render through the normal Scene Mode path.|VN Script Demo Import is visible.|VN demo audit: launch imported VN script with strict-validated local PNG assets.
vn-compose|vn-demo|text:look at roadmap,enter,delay:1||||Generate the VN demo, launch Scene Mode, type a prompt into the compose dock, submit it, and wait for the deterministic local compose backend.|Compose input remains docked, backend output renders as Codex dialogue, and VN background/sprites remain visible.|Compose succeeded.|VN compose audit: type a prompt and render the deterministic compose backend reply.
vn-compose-codex|vn-demo|text:look at roadmap,enter,delay:1||||Generate the VN demo, launch Scene Mode, type a prompt into the compose dock, submit it, and wait for a fake local Codex CLI backend.|Codex backend kind is selected; fake Codex output renders as Codex dialogue, and VN background/sprites remain visible.|Codex succeeded.|VN Codex compose audit: type a prompt and render the fake Codex backend reply.
